Transcription (Model: medium):
 frostcroch Ballides Papa ! Oh my god ! Les flots, les mélos, ça me connait Toi si quel est hit, ça me connait Des couplets, un couplet, le souffle, j'en ai fait Toi t'es sale à coller, s'assaisonner Comme Kai Jansos et Le Game ne m'a pas vu arriver J'ouvre la, j'ouvre la, j'ouvre la Ce bras le gentil à tout prix, à tout monétisé Levez-vous de mon chemin, je n'ai plus rien à prouver Plus rien à foutre vos avis, de vos données Ça ne parle que des promesses, plus de monnaie De chiter, de cesser, mais plus de sujets qui nous font élever Mon ami, plus personne me fait rêver Faut les voyous alors qu'on les connaît Donc fais-moi remplir mes tas de neufs et pas dans mon gagne Non car tu n'auras jamais pu Oh my god ! Vient tout le temps que je suis à la mort Je les entends tous chanter sur les hommes Et merci qui ? Merci papa Sourprens, oh la la Oh la, oh la la Oh la, oh la la Oh la, oh la la Oh la, oh la la Appelle-moi papa Sourprens Petit, petit Petit, petit Petit, petit Petit, petit Petit, petit Petit, petit Oh la, oh la la

Timestamps:
0.00s - 25.30s:  frostcroch Ballides
25.30s - 25.80s:  Papa !
55.30s - 58.30s:  Oh my god !
85.30s - 87.30s:  Les flots, les mélos, ça me connait
87.30s - 89.30s:  Toi si quel est hit, ça me connait
89.30s - 91.30s:  Des couplets, un couplet, le souffle, j'en ai fait
91.30s - 93.30s:  Toi t'es sale à coller, s'assaisonner
93.30s - 95.30s:  Comme Kai Jansos et Le Game ne m'a pas vu arriver
95.30s - 97.30s:  J'ouvre la, j'ouvre la, j'ouvre la
97.30s - 99.30s:  Ce bras le gentil à tout prix, à tout monétisé
99.30s - 101.30s:  Levez-vous de mon chemin, je n'ai plus rien à prouver
101.30s - 103.30s:  Plus rien à foutre vos avis, de vos données
103.30s - 105.30s:  Ça ne parle que des promesses, plus de monnaie
105.30s - 107.30s:  De chiter, de cesser, mais plus de sujets qui nous font élever
107.30s - 109.30s:  Mon ami, plus personne me fait rêver
109.30s - 111.30s:  Faut les voyous alors qu'on les connaît
111.30s - 113.30s:  Donc fais-moi remplir mes tas de neufs et pas dans mon gagne
113.30s - 115.30s:  Non car tu n'auras jamais pu
115.30s - 117.30s:  Oh my god !
117.30s - 119.30s:  Vient tout le temps que je suis à la mort
119.30s - 123.30s:  Je les entends tous chanter sur les hommes
123.30s - 125.30s:  Et merci qui ? Merci papa
125.30s - 127.30s:  Sourprens, oh la la
127.30s - 129.30s:  Oh la, oh la la
131.30s - 133.30s:  Oh la, oh la la
135.30s - 137.30s:  Oh la, oh la la
137.30s - 139.30s:  Oh la, oh la la
143.30s - 145.30s:  Appelle-moi papa Sourprens
145.30s - 147.30s:  Petit, petit
147.30s - 149.30s:  Petit, petit
149.30s - 151.30s:  Petit, petit
151.30s - 153.30s:  Petit, petit
153.30s - 155.30s:  Petit, petit
155.30s - 157.30s:  Petit, petit
157.30s - 159.30s:  Oh la, oh la la
