Transcription (Model: small):
 ʎängěs Means. The인데. forme a France brand smag och ocaledIEanawhat karma I'm sw naszych horns and its not ɒn opp!! ha I am her ɒm l' Mudosh plań Fang chai Yve maj is ʻɪmāʻi n'toa kele p'ra en Afrika ʻdans a village bati de terse ʻos a soleil de klōm ʻimāʻi n'l'air chōwé l'ours ʻet'n du deserti ʻse m'ai gros d'voupo de ché ʻa m'ai se bato ʻimāʻi n'cet lōm ʻmāʻi n'k'tu doa ʻk'omplir ʻa fin ke t'e bete pui spet ʻle se rafrèʃit ʻc'et'r'ant'e bon affè ʻc'e brôleur de métaï ʻg'o l'âge ni g'o flitir ʻs'en rèp'leʃit ʻimāʻi n'ma d'a gas gare ʻs'en montain d'ordur ʻimāʻi n't'e huit ans ʻe t'e pié s'en xosu ʻimāʻi n't'e main ʻd'an les deserti ʻp'o m'a boud de pain ʻmei t'u t'i amitu ʻimāʻi n'pari ʻe son périfèrik ʻkele p'a ar sous un pont ʻa loin du trafic ʻimāʻi n't'o s'ouz a du vesra ʻl'huton contre le vois ʻl'huton contre la dan ʻm'aʻi n'o imagin' toi ʻd'ant a watchau bloqué ʻd'an les embouteillages ʻl'homme son l'endement ʻde s'a couverture ʻl'hormain ton visage ʻd'i moi ce que tu ressens ʻle regardes tu autrement ʻavant d'insulte la vie ʻrép'lʻi d'oré n'avansit ʻs'en a n'a n'ai ʻk'o s'o hʻtron d'realis ʻb'a t'en t'en s'a ʻne n'o touʃpa ʻon s'et d'ré bien ʻs'k'i s'pa taïr ʻm'e on n'o se plè ʻrelativit ʻc'ferme les yeux ʻimāʻi n'tois ʻtu vers d'ant a vie ʻv'e ʻk'a imagine toi sa la music ʻla santé abimé par les 3 huit ʻt'es alé retour aux ascédic ʻsaïd imagine toi ʻs'en s'et r'eusit ʻprisonie de cette tour de boutique ʻmaʻi toi sa n'snaïp ʻmo'a s'en psikatre ʻs'e pa m'o manq ʻt'otre ne konezpa ʻimāʻi n'a beno ʻvi s'en t'oos ʻsa s'e paussa ʻpromersion dʻi pour tout sa ʻp'r donc m'o les jours r'oʃ me plè ʻles jours r'oʃ je ne vois ʻk'o m'o n'ai pas plus boi ʻp'r donc m'o t'oʃ s'e pa ʻoʃ j'ai grossi ʻmaʻi pro-oblèm ʻp'r tout to s'e pa ʻoʃ j'ai fait tourner le monde ʻs'e m'o amê ʻp'r m'a trè tʻi oʃ tʻi oʃ s'e m'o ʻvoi la mesère du monde ʻd'et a plaçant d'oʂsa ʻm'o n'o en fonti en s'en a chance ʻo n'ai j'ai vera ʻp'r t'et g'la vie ʻbeee ʻblacos ʻs'o prāno ʻp'r p'r p'r p'r p'r p'r p'r p'r ʻeee ʻs'an a re goso ʻotronne de alis pa ʻt'o n'o t'oʃsa ʻoʃ s'e trè bia ʻs'a t'a yur me on m'o se plè ʻrelative ʻe'r me ferme les ʻe'r i'm aʻʻi n'toʻa ʻoʃ ʻu'v'er a tʻoʃ tʻa vie ʻe'r m'o s'e pa ʻs'an a re goso

Timestamps:
30.00s - 31.40s:  ʎängěs Means. The인데.
31.40s - 31.92s:  forme a
32.00s - 33.04s:  France brand
35.30s - 37.16s:  smag och ocaledIE
38.86s - 42.56s: anawhat
42.80s - 43.70s:  karma
45.02s - 45.16s:  I'm sw naszych
45.64s - 46.36s:  horns
46.80s - 47.16s:  and its not
47.64s - 48.08s:  ɒn opp!!
48.56s - 48.72s:  ha
49.96s - 50.26s:  I am
50.82s - 51.12s:  her
51.74s - 52.12s:  ɒm
52.64s - 52.94s:  l' Mudosh
53.12s - 53.74s:  plań
56.10s - 56.24s:  Fang
57.10s - 57.26s:  chai
57.30s - 57.48s:  Yve
57.62s - 57.98s:  maj
58.66s - 59.32s:  is
120.00s - 122.00s:  ʻɪmāʻi n'toa kele p'ra en Afrika
122.00s - 124.00s:  ʻdans a village bati de terse
124.00s - 125.00s:  ʻos a soleil de klōm
125.00s - 126.00s:  ʻimāʻi n'l'air chōwé l'ours
126.00s - 127.00s:  ʻet'n du deserti
127.00s - 129.00s:  ʻse m'ai gros d'voupo de ché
129.00s - 130.00s:  ʻa m'ai se bato
130.00s - 131.00s:  ʻimāʻi n'cet lōm
131.00s - 132.00s:  ʻmāʻi n'k'tu doa
132.00s - 133.00s:  ʻk'omplir
133.00s - 134.00s:  ʻa fin ke t'e bete pui spet
134.00s - 135.00s:  ʻle se rafrèʃit
135.00s - 136.00s:  ʻc'et'r'ant'e bon affè
136.00s - 137.00s:  ʻc'e brôleur de métaï
138.00s - 139.00s:  ʻg'o l'âge ni g'o flitir
139.00s - 140.00s:  ʻs'en rèp'leʃit
140.00s - 141.00s:  ʻimāʻi n'ma d'a gas gare
141.00s - 142.00s:  ʻs'en montain d'ordur
142.00s - 143.00s:  ʻimāʻi n't'e huit ans
143.00s - 144.00s:  ʻe t'e pié s'en xosu
145.00s - 146.00s:  ʻimāʻi n't'e main
146.00s - 147.00s:  ʻd'an les deserti
147.00s - 148.00s:  ʻp'o m'a boud de pain
148.00s - 149.00s:  ʻmei t'u t'i amitu
150.00s - 152.00s:  ʻimāʻi n'pari ʻe son périfèrik
152.00s - 153.00s:  ʻkele p'a ar sous un pont
153.00s - 154.00s:  ʻa loin du trafic
155.00s - 156.00s:  ʻimāʻi n't'o s'ouz a du vesra
156.00s - 157.00s:  ʻl'huton contre le vois
157.00s - 159.00s:  ʻl'huton contre la dan
160.00s - 161.00s:  ʻm'aʻi n'o imagin' toi
161.00s - 162.00s:  ʻd'ant a watchau bloqué
162.00s - 164.00s:  ʻd'an les embouteillages
165.00s - 166.00s:  ʻl'homme son l'endement
166.00s - 167.00s:  ʻde s'a couverture
167.00s - 169.00s:  ʻl'hormain ton visage
170.00s - 171.00s:  ʻd'i moi ce que tu ressens
171.00s - 174.00s:  ʻle regardes tu autrement
175.00s - 176.00s:  ʻavant d'insulte la vie
176.00s - 178.00s:  ʻrép'lʻi d'oré n'avansit
179.00s - 180.00s:  ʻs'en a n'a n'ai
180.00s - 181.00s:  ʻk'o s'o hʻtron d'realis
181.00s - 182.00s:  ʻb'a t'en t'en s'a
182.00s - 183.00s:  ʻne n'o touʃpa
