Transcription (Model: medium):
 The Eyes, eyes, bigger, bigger than the world. Eyes, eyes, bigger, bigger than the world. This is for the people who disdain me, as if I was a traitor and I had a sling. The kind of guys who fight the Mita with a poster of Marina in a nicaque. I told you people look at me weird, sorry but I don't have the humor of Bigard. And Mr. Jack tells me I'm a liar, that to get out of it, you'll need a miracle. We had to learn a bicra, we need to know where our friends are. Only we help in Ornica, I just want to know where is the Ordua. So the family says what, the nicaque does nothing, just we believe it. Everyone says black, everyone says black, everyone says black, when I said everyone says black, everyone sees black. Everyone says black, everyone says black, when I said everyone sees black.

Timestamps:
30.00s - 58.86s:  The
58.86s - 65.86s:  Eyes, eyes, bigger, bigger than the world.
65.86s - 75.86s:  Eyes, eyes, bigger, bigger than the world.
78.86s - 81.86s:  This is for the people who disdain me, as if I was a traitor and I had a sling.
81.86s - 85.86s:  The kind of guys who fight the Mita with a poster of Marina in a nicaque.
85.86s - 88.86s:  I told you people look at me weird, sorry but I don't have the humor of Bigard.
88.86s - 91.86s:  And Mr. Jack tells me I'm a liar, that to get out of it, you'll need a miracle.
91.86s - 94.86s:  We had to learn a bicra, we need to know where our friends are.
94.86s - 97.86s:  Only we help in Ornica, I just want to know where is the Ordua.
97.86s - 101.86s:  So the family says what, the nicaque does nothing, just we believe it.
104.86s - 112.86s:  Everyone says black, everyone says black, everyone says black, when I said everyone says black, everyone sees black.
112.86s - 117.86s:  Everyone says black, everyone says black, when I said everyone sees black.
